,label,mpid,formula,chemsys,energy,shift,miller,top,0group,0period,0en,0upd,1group,1period,1en,1upd,2group,2period,2en,2upd,3group,3period,3en,3upd,4group,4period,4en,4upd,5group,5period,5en,5upd,6group,6period,6en,6upd,7group,7period,7en,7upd,8group,8period,8en,8upd,9group,9period,9en,9upd,10group,10period,10en,10upd,11group,11period,11en,11upd
20,1,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.415519564999999,0.372360429999999,2,0,14,3,1.9,0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,13,3,1.61,0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792
23,1,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.126030354999999,0.25,2,0,13,3,1.61,0,9.0,4.0,1.88,3.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,13,3,1.61,0,13.0,3.0,1.61,0.0,9.0,4.0,1.88,3.0,14.0,3.0,1.9,0.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0
26,0,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.498374895000014,0.0380353725,4,0,13,3,1.61,0,9.0,4.0,1.88,3.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,13,3,1.61,0,13.0,3.0,1.61,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0
27,0,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.016856574999993,0.9130353725,6,0,9,4,1.88,3,14.0,3.0,1.9,0.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,13,3,1.61,0,13.0,3.0,1.61,0.0,9.0,4.0,1.88,3.0,14.0,3.0,1.9,0.0,13.0,3.0,1.61,0.0,13.0,3.0,1.61,0.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0
29,1,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.195794175000005,0.055555555555555,9,0,13,3,1.61,0,9.0,4.0,1.88,3.0,14.0,3.0,1.9,0.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,13,3,1.61,0,13.0,3.0,1.61,0.0,9.0,4.0,1.88,3.0,13.0,3.0,1.61,0.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,13.0,3.0,1.61,0.0,13.0,3.0,1.61,0.0
30,1,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.413010694999999,0.0,5,0,13,3,1.61,0,9.0,4.0,1.88,3.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,13,3,1.61,0,13.0,3.0,1.61,0.0,9.0,4.0,1.88,3.0,14.0,3.0,1.9,0.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0
31,1,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.285011915,0.046289685,2,1,9,4,1.88,3,14.0,3.0,1.9,0.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,13,3,1.61,0,13.0,3.0,1.61,0.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,13.0,3.0,1.61,0.0,9.0,4.0,1.88,3.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0
33,0,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",0.143173265000027,0.081349885,7,1,9,4,1.88,3,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,14,3,1.9,0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792
41,1,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.124481154999986,0.9130353725,6,0,9,4,1.88,3,9.0,4.0,1.88,3.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,13,3,1.61,0,13.0,3.0,1.61,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,13.0,3.0,1.61,0.0,13.0,3.0,1.61,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0
42,0,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.072243245000012,0.038035372499999,4,0,9,4,1.88,3,14.0,3.0,1.9,0.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,13,3,1.61,0,13.0,3.0,1.61,0.0,9.0,4.0,1.88,3.0,14.0,3.0,1.9,0.0,13.0,3.0,1.61,0.0,13.0,3.0,1.61,0.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0
